driver_id,car_model,car_manufacture_year,days_since_inspection,age,experience,second_language,rating,net_worth_of_tips,number_of_rejected_rides,number_of_upvotes,number_of_complaints,number_of_incidents,driver_class
2571,Ford Fusion,2013,193,39.0,14,Arabic,4.09,254.09,3,15,1,1,B class
1239,Ford Fusion,2015,285,,9,no,4.0,484.49,5,23,2,0,B class
620,Toyota Camry,2009,484,58.0,15,Arabic,4.08,337.6,3,19,2,1,B class
2231,Toyota Camry,2014,771,66.0,7,French,4.53,626.05,0,49,2,0,A class
581,Ford Fusion,2014,45,59.0,9,no,4.86,826.93,1,37,2,0,A class
1082,Hyundai Sonata,2006,693,25.0,5,no,4.4,510.17,5,24,1,0,B class
2147,Nissan Altima,2006,255,34.0,6,no,4.08,452.34,3,22,1,2,B class
72,Kia Optima,2011,655,39.0,7,Mandarin,4.09,619.46,6,24,1,0,B class
1062,Honda Accord,2010,646,24.0,0,no,4.02,568.12,5,39,0,0,B class
2900,Hyundai Sonata,2007,311,33.0,13,Spanish,4.52,588.28,6,22,1,0,B class
1917,Hyundai Sonata,2013,23,49.0,1,no,3.93,163.58,5,18,2,1,B class
2171,Kia Optima,2005,425,41.0,6,no,4.82,915.72,4,46,2,0,A class
1749,Chevrolet Malibu,2006,517,33.0,10,French,4.54,539.14,1,41,1,0,B class
717,Nissan Altima,2017,322,42.0,22,no,4.88,798.64,1,39,2,0,A class
1658,Honda Accord,2010,142,53.0,7,no,4.01,585.38,5,18,0,1,B class
770,Toyota Camry,2020,891,54.0,19,no,4.61,666.62,5,26,2,0,A class
749,Chevrolet Malibu,2008,279,35.0,15,no,4.29,804.48,4,30,4,0,B class
2024,Hyundai Sonata,2022,337,35.0,14,no,4.11,599.31,2,20,0,0,B class
1651,Hyundai Sonata,2021,94,27.0,7,no,4.41,870.04,4,31,2,1,A class
1773,Honda Accord,2018,828,27.0,1,no,4.28,451.72,3,29,2,0,B class
2366,Kia Optima,2022,806,29.0,9,no,4.9,994.03,3,35,0,0,A class
1590,Nissan Altima,2019,531,63.0,15,no,5.0,1327.11,0,63,1,0,A class
88,Honda Accord,2010,862,,23,Mandarin,5.0,1027.48,3,50,0,0,A class
2911,Ford Fusion,2019,282,28.0,8,Mandarin,4.42,821.51,1,34,1,0,A class
1319,Kia Optima,2014,208,37.0,8,Russian,5.0,1075.18,2,38,2,0,A class
528,Nissan Altima,2010,755,,2,no,3.79,451.72,6,9,2,1,B class
1456,Chevrolet Malibu,2015,502,25.0,5,no,3.73,387.95,2,10,1,0,B class
633,Kia Optima,2022,429,25.0,5,no,4.87,783.6,0,28,2,0,A class
2385,Kia Optima,2021,801,23.0,0,Spanish,4.12,474.97,2,24,2,4,B class
2861,Chevrolet Malibu,2020,510,55.0,3,Mandarin,4.74,657.0,2,24,0,0,A class
946,Ford Fusion,2014,475,65.0,12,no,4.42,459.23,2,9,1,0,B class
2219,Chevrolet Malibu,2017,586,61.0,5,no,3.79,398.76,6,21,2,1,B class
604,Hyundai Sonata,2021,171,49.0,23,no,4.42,451.69,3,48,2,0,A class
2440,Ford Fusion,2007,103,65.0,17,Russian,5.0,1171.41,0,51,0,0,A class
1960,Ford Fusion,2015,873,27.0,7,Spanish,3.91,502.59,6,32,1,2,B class
665,Honda Accord,2018,566,45.0,5,French,4.43,668.22,4,24,1,0,A class
2644,Chevrolet Malibu,2020,23,46.0,14,no,4.91,944.39,0,35,1,1,A class
2408,Toyota Camry,2013,835,54.0,5,no,4.76,800.59,4,31,1,0,A class
524,Honda Accord,2009,183,55.0,10,no,4.47,473.93,1,26,3,1,B class
842,Chevrolet Malibu,2010,123,23.0,3,Russian,4.63,454.0,1,30,0,1,A class
1950,Nissan Altima,2011,82,46.0,10,no,4.26,328.79,8,25,1,1,B class
1391,Chevrolet Malibu,2005,34,46.0,3,no,4.08,411.5,2,19,1,0,B class
1135,Chevrolet Malibu,2017,745,34.0,14,no,4.22,594.13,5,25,2,0,B class
401,Kia Optima,2008,210,55.0,8,French,4.71,742.73,2,35,1,0,A class
227,Honda Accord,2012,332,26.0,6,Spanish,3.94,666.51,3,15,2,0,B class
1117,Kia Optima,2012,701,52.0,18,no,4.2,648.17,7,14,2,1,B class
799,Hyundai Sonata,2013,295,65.0,13,Spanish,4.23,796.6,2,45,2,0,A class
1353,Nissan Altima,2020,53,54.0,19,no,4.82,1008.9,0,41,0,0,A class
758,Chevrolet Malibu,2008,453,23.0,3,Russian,4.26,268.26,9,32,1,0,B class
2200,Chevrolet Malibu,2016,797,38.0,12,no,4.47,820.09,2,39,1,1,A class
2497,Kia Optima,2011,770,58.0,16,French,4.77,735.7,2,28,1,0,A class
1287,Toyota Camry,2008,488,27.0,7,Arabic,4.76,885.29,2,36,2,1,A class
2635,Kia Optima,2019,756,65.0,14,Arabic,4.51,740.1,1,35,1,0,A class
2722,Chevrolet Malibu,2011,689,30.0,6,no,4.82,727.52,2,26,1,2,A class
2419,Nissan Altima,2017,584,63.0,4,Spanish,4.95,909.18,3,31,1,0,A class
768,Nissan Altima,2016,743,41.0,17,French,4.45,979.67,3,33,0,1,A class
428,Kia Optima,2010,549,49.0,24,no,4.84,1185.4,1,41,0,0,A class
2916,Chevrolet Malibu,2018,868,34.0,14,Mandarin,4.98,1025.0,4,40,1,0,A class
1333,Nissan Altima,2008,892,50.0,4,no,4.26,765.28,4,43,2,2,B class
1627,Honda Accord,2019,131,46.0,2,Spanish,4.83,769.8,1,24,0,1,A class
27,Toyota Camry,2013,676,44.0,11,no,4.42,696.05,1,25,0,0,A class
718,Toyota Camry,2020,713,31.0,11,no,5.0,928.79,5,44,1,0,A class
25,Nissan Altima,2022,217,43.0,19,Spanish,4.79,888.38,1,48,3,0,A class
2277,Chevrolet Malibu,2011,309,41.0,8,no,4.31,533.24,5,20,0,0,B class
2133,Nissan Altima,2006,450,58.0,0,no,4.32,645.77,3,28,1,0,A class
1553,Toyota Camry,2009,891,29.0,9,Mandarin,4.01,408.12,4,20,3,0,B class
1,Nissan Altima,2022,351,35.0,2,no,3.93,384.11,4,19,3,2,B class
1793,Hyundai Sonata,2010,4,53.0,14,Arabic,4.34,439.79,4,25,2,2,B class
864,Toyota Camry,2015,15,38.0,14,Spanish,5.0,1054.1,2,40,3,0,A class
61,Chevrolet Malibu,2020,312,39.0,1,French,4.15,453.72,4,17,1,2,B class
1545,Nissan Altima,2015,590,50.0,19,Mandarin,4.9,1007.81,3,22,2,0,A class
2714,Nissan Altima,2013,96,40.0,20,no,4.74,695.51,4,35,2,0,A class
1683,Hyundai Sonata,2006,478,47.0,5,French,4.08,295.97,2,9,1,1,B class
1338,Ford Fusion,2020,700,,14,Russian,3.28,337.75,3,17,3,0,B class
1962,Chevrolet Malibu,2012,739,42.0,9,Spanish,4.56,704.82,0,54,2,1,A class
1454,Nissan Altima,2008,84,55.0,12,no,3.99,557.43,0,27,2,1,B class
2841,Ford Fusion,2009,113,44.0,14,no,4.48,753.83,1,42,3,1,A class
2998,Toyota Camry,2010,793,22.0,2,no,4.9,838.95,1,35,1,0,A class
1372,Honda Accord,2006,483,35.0,13,no,4.47,710.05,2,46,3,0,A class
1560,Ford Fusion,2014,611,65.0,9,French,4.84,1002.21,2,45,1,0,A class
667,Hyundai Sonata,2009,520,45.0,24,no,4.92,666.07,4,37,0,0,A class
705,Nissan Altima,2019,25,58.0,6,no,4.46,541.94,4,22,3,1,B class
1172,Chevrolet Malibu,2009,17,61.0,2,Spanish,4.49,917.8,1,37,1,1,A class
242,Ford Fusion,2022,828,57.0,2,Spanish,3.85,517.7,5,27,1,0,B class
2160,Toyota Camry,2017,789,50.0,3,no,5.0,1005.58,1,36,0,0,A class
1786,Toyota Camry,2015,149,22.0,2,no,3.79,357.59,2,10,1,2,B class
132,Ford Fusion,2015,867,21.0,1,no,4.45,637.89,3,19,0,0,B class
1620,Nissan Altima,2020,284,63.0,10,French,4.65,806.29,1,43,2,2,A class
841,Toyota Camry,2019,115,37.0,16,no,4.2,463.0,2,21,1,0,B class
2507,Hyundai Sonata,2021,456,23.0,3,no,4.03,314.83,4,8,0,0,B class
195,Honda Accord,2016,441,48.0,10,no,4.87,940.95,2,45,1,1,A class
2064,Toyota Camry,2009,767,46.0,24,no,4.02,449.49,4,26,1,1,B class
1752,Honda Accord,2015,465,63.0,21,no,4.55,714.97,2,31,0,0,A class
1488,Nissan Altima,2017,576,49.0,9,French,4.27,574.18,2,29,1,0,B class
1762,Nissan Altima,2009,481,62.0,15,French,4.05,632.0,3,22,2,0,A class
451,Kia Optima,2009,297,41.0,21,no,4.27,888.31,2,17,0,1,A class
171,Toyota Camry,2012,266,22.0,2,no,4.23,536.58,4,20,1,1,B class
1966,Toyota Camry,2016,863,38.0,3,no,4.52,903.13,1,38,0,1,A class
1771,Ford Fusion,2019,478,26.0,6,no,4.19,780.86,1,18,1,0,B class
2028,Honda Accord,2013,163,26.0,6,no,4.46,684.39,3,36,2,1,A class
1685,Ford Fusion,2007,210,53.0,0,French,3.68,122.17,2,14,1,1,B class
1337,Chevrolet Malibu,2017,4,53.0,18,Portuguese,3.88,416.58,5,24,5,0,B class
514,Honda Accord,2006,206,44.0,7,Spanish,4.34,437.52,7,20,0,0,B class
220,Nissan Altima,2009,475,50.0,17,Spanish,4.74,1031.59,3,42,1,0,A class
2918,Toyota Camry,2008,533,36.0,2,Portuguese,4.43,577.15,5,16,0,0,B class
1229,Nissan Altima,2016,681,39.0,7,Spanish,4.82,978.65,3,30,1,0,A class
2576,Toyota Camry,2007,884,45.0,0,no,4.39,554.85,2,18,1,0,B class
1754,Nissan Altima,2006,578,34.0,14,Mandarin,3.48,0.0,2,13,1,1,B class
597,Chevrolet Malibu,2008,626,39.0,19,French,5.0,968.23,2,50,0,0,A class
1237,Kia Optima,2018,466,64.0,24,Spanish,4.71,854.44,0,43,1,0,A class
1068,Kia Optima,2007,641,,13,Spanish,5.0,948.61,2,49,1,0,A class
503,Toyota Camry,2008,586,21.0,1,no,4.05,711.74,3,28,0,1,B class
1675,Nissan Altima,2015,38,22.0,2,no,3.67,0.0,3,9,2,1,B class
865,Kia Optima,2008,807,41.0,9,no,4.67,829.05,2,24,1,1,A class
1996,Nissan Altima,2015,181,,10,no,4.23,826.4,3,18,2,1,B class
2676,Nissan Altima,2016,580,65.0,0,no,4.21,742.4,3,30,1,1,B class
2865,Chevrolet Malibu,2011,452,58.0,17,no,4.62,673.42,3,10,3,1,B class
652,Honda Accord,2016,720,24.0,4,Spanish,4.86,824.3,1,41,0,0,A class
548,Honda Accord,2010,745,38.0,16,no,4.62,784.42,2,25,3,0,A class
1941,Toyota Camry,2018,438,30.0,1,no,4.04,633.52,5,17,2,0,B class
2101,Nissan Altima,2014,785,,6,no,4.68,939.94,3,31,0,0,A class
1922,Nissan Altima,2018,257,,12,Spanish,4.44,624.34,2,24,1,0,A class
1224,Chevrolet Malibu,2009,550,,11,French,4.54,380.79,4,32,1,1,B class
2764,Toyota Camry,2006,782,26.0,6,French,4.46,831.03,3,27,1,1,A class
486,Honda Accord,2014,865,63.0,5,no,4.67,527.54,5,26,1,0,B class
2856,Nissan Altima,2012,741,65.0,15,no,4.45,687.42,6,20,1,0,A class
2623,Hyundai Sonata,2019,364,37.0,17,French,4.87,1088.82,1,41,2,0,A class
254,Toyota Camry,2006,471,,7,Mandarin,4.14,256.46,5,32,2,2,B class
2511,Chevrolet Malibu,2016,469,66.0,4,no,4.24,470.59,4,39,0,1,B class
296,Toyota Camry,2016,199,33.0,2,no,4.19,608.37,2,36,1,1,B class
2218,Chevrolet Malibu,2008,257,40.0,2,no,4.08,355.44,5,6,2,0,B class
1975,Ford Fusion,2016,542,58.0,10,Russian,3.88,411.94,3,26,0,0,B class
1402,Hyundai Sonata,2015,147,58.0,3,Mandarin,4.83,786.08,1,21,0,1,A class
2513,Kia Optima,2014,486,,4,no,3.52,236.37,4,27,2,1,B class
1525,Nissan Altima,2018,82,38.0,18,no,4.42,771.3,2,52,0,2,B class
2394,Ford Fusion,2008,484,22.0,2,no,4.85,909.52,4,41,1,0,A class
2925,Chevrolet Malibu,2009,699,67.0,0,French,3.58,310.67,9,10,1,2,B class
641,Nissan Altima,2014,299,56.0,8,no,5.0,1277.39,0,53,0,0,A class
329,Kia Optima,2011,36,39.0,0,no,4.49,697.41,3,27,1,1,A class
271,Hyundai Sonata,2011,319,38.0,18,no,5.0,1238.04,3,43,0,0,A class
302,Toyota Camry,2011,758,28.0,8,French,4.13,295.85,4,13,0,0,B class
366,Honda Accord,2012,838,23.0,3,no,4.6,785.35,3,39,2,1,B class
741,Ford Fusion,2016,729,,4,no,4.11,590.48,4,31,0,1,B class
2853,Honda Accord,2007,845,51.0,5,no,4.76,897.16,2,40,0,0,A class
1422,Chevrolet Malibu,2020,471,,2,French,3.94,545.8,2,20,2,0,B class
2579,Nissan Altima,2011,233,32.0,12,no,4.63,877.81,1,52,5,0,A class
2072,Ford Fusion,2005,144,30.0,10,Portuguese,4.46,529.89,3,23,2,1,B class
670,Ford Fusion,2008,891,47.0,2,no,3.94,308.02,1,17,0,0,B class
2095,Nissan Altima,2018,714,28.0,8,Portuguese,5.0,1212.56,3,46,1,1,A class
111,Toyota Camry,2021,721,34.0,14,Spanish,4.68,394.74,3,20,0,1,B class
2689,Nissan Altima,2005,463,61.0,2,no,4.22,575.92,4,33,3,2,B class
2990,Chevrolet Malibu,2006,578,39.0,10,no,4.91,932.11,4,36,1,1,A class
743,Toyota Camry,2009,423,35.0,8,French,4.76,970.07,1,38,4,0,A class
650,Toyota Camry,2013,788,45.0,21,no,4.23,437.99,3,11,1,0,B class
2553,Nissan Altima,2016,208,34.0,8,no,3.87,483.06,3,15,2,1,B class
192,Hyundai Sonata,2010,271,38.0,11,French,4.11,437.88,2,35,1,2,B class
639,Chevrolet Malibu,2007,167,21.0,1,Spanish,4.99,894.44,3,17,0,1,A class
80,Nissan Altima,2018,382,40.0,6,no,4.22,699.25,4,27,0,0,A class
898,Chevrolet Malibu,2010,246,40.0,15,no,4.41,341.22,3,26,2,1,B class
2177,Ford Fusion,2017,435,52.0,2,Russian,4.39,765.31,3,32,1,0,A class
2157,Kia Optima,2014,487,52.0,5,Arabic,4.49,539.86,1,24,0,0,A class
1471,Nissan Altima,2009,126,28.0,8,no,3.86,640.71,2,22,2,2,B class
2608,Chevrolet Malibu,2018,446,52.0,23,no,4.7,974.32,1,25,2,0,A class
1797,Nissan Altima,2006,886,63.0,22,Spanish,4.71,1177.36,2,61,1,0,A class
292,Toyota Camry,2005,306,44.0,4,Mandarin,4.62,941.25,4,44,0,0,A class
1730,Toyota Camry,2021,424,21.0,1,Portuguese,4.53,970.17,4,22,0,1,A class
2701,Hyundai Sonata,2008,716,54.0,20,no,4.41,695.96,4,25,0,0,B class
1981,Ford Fusion,2015,459,23.0,3,Spanish,4.87,954.17,2,80,0,0,A class
1503,Ford Fusion,2013,125,67.0,23,no,4.47,736.17,1,46,4,1,A class
339,Honda Accord,2016,492,36.0,13,Russian,3.75,519.22,6,15,4,1,B class
1252,Honda Accord,2009,703,39.0,19,French,4.25,616.57,4,29,3,1,A class
1314,Nissan Altima,2009,272,34.0,3,no,4.76,891.93,0,40,1,0,A class
2907,Toyota Camry,2017,424,41.0,15,Arabic,4.73,768.65,3,19,0,1,A class
2927,Ford Fusion,2019,438,27.0,5,no,4.52,941.44,4,25,1,0,A class
2270,Nissan Altima,2006,415,,2,French,4.88,1114.22,2,42,0,1,A class
930,Chevrolet Malibu,2021,402,49.0,16,Spanish,4.55,584.59,8,18,2,0,A class
1465,Hyundai Sonata,2011,631,26.0,6,Mandarin,4.8,1023.57,1,26,0,0,A class
2032,Toyota Camry,2009,63,28.0,4,no,4.03,204.81,1,8,2,0,B class
2203,Hyundai Sonata,2017,104,42.0,15,no,4.03,512.92,1,11,3,0,B class
2287,Chevrolet Malibu,2005,73,39.0,12,no,4.86,907.22,5,22,0,1,A class
375,Honda Accord,2022,255,36.0,6,Russian,3.8,96.46,6,10,2,0,B class
1442,Kia Optima,2015,540,21.0,1,no,5.0,740.0,3,28,1,1,A class
994,Ford Fusion,2006,835,41.0,15,no,4.43,976.87,3,45,0,0,A class
2054,Kia Optima,2019,176,57.0,9,no,4.89,1095.78,1,37,0,0,A class
359,Chevrolet Malibu,2014,227,42.0,9,Spanish,4.56,446.91,4,30,2,0,B class
1306,Nissan Altima,2015,668,43.0,18,Spanish,3.98,413.97,2,22,2,0,B class
2498,Chevrolet Malibu,2022,461,29.0,9,Portuguese,4.11,607.25,5,29,1,0,B class
445,Toyota Camry,2011,388,60.0,7,no,4.26,821.17,4,24,1,4,B class
363,Hyundai Sonata,2009,600,34.0,14,no,4.22,583.65,3,14,0,0,B class
1948,Nissan Altima,2015,72,27.0,5,no,4.21,641.72,2,24,0,1,B class
180,Toyota Camry,2020,395,45.0,6,no,4.21,442.65,4,29,0,1,B class
268,Hyundai Sonata,2008,499,,6,French,4.41,609.9,4,17,4,0,B class
179,Nissan Altima,2018,623,23.0,3,Portuguese,3.9,488.16,3,16,1,1,B class
692,Kia Optima,2020,428,21.0,1,Spanish,4.19,591.14,3,17,1,0,B class
878,Honda Accord,2014,486,61.0,16,French,4.42,748.11,2,56,0,1,A class
2062,Honda Accord,2017,518,23.0,3,no,4.23,733.64,3,24,3,0,B class
1263,Ford Fusion,2009,557,60.0,13,French,3.78,444.87,7,11,0,3,B class
1826,Ford Fusion,2017,840,54.0,9,no,3.66,402.38,2,12,2,0,B class
2890,Ford Fusion,2006,254,41.0,16,Spanish,4.37,756.55,2,18,1,1,B class
1426,Ford Fusion,2020,297,36.0,7,no,5.0,1001.2,2,37,1,0,A class
489,Hyundai Sonata,2016,651,23.0,3,no,4.28,723.0,3,36,0,0,B class
2398,Chevrolet Malibu,2021,671,54.0,23,no,4.88,1057.83,0,43,0,0,A class
2682,Chevrolet Malibu,2021,767,43.0,14,Portuguese,4.6,683.17,5,25,1,1,A class
52,Ford Fusion,2005,762,28.0,8,no,3.95,340.46,2,33,3,0,B class
2176,Toyota Camry,2005,295,25.0,5,Portuguese,5.0,841.95,2,46,0,1,A class
1063,Nissan Altima,2012,512,63.0,9,French,4.67,811.87,0,42,1,1,A class
2272,Nissan Altima,2016,218,51.0,18,Mandarin,4.12,319.63,5,16,2,1,B class
1594,Kia Optima,2014,843,,14,no,3.84,562.08,1,22,2,0,B class
64,Hyundai Sonata,2022,124,55.0,21,French,4.63,884.43,4,41,1,0,A class
846,Honda Accord,2006,679,47.0,18,Mandarin,4.45,862.16,2,27,1,0,B class
839,Chevrolet Malibu,2012,572,58.0,11,no,4.57,882.02,0,33,0,0,A class
211,Chevrolet Malibu,2012,741,37.0,17,French,4.49,802.3,2,49,1,0,A class
1507,Kia Optima,2013,761,25.0,5,no,4.78,1013.25,0,42,3,0,A class
2819,Chevrolet Malibu,2005,591,41.0,21,Arabic,4.71,676.47,2,16,0,1,A class
706,Chevrolet Malibu,2015,848,55.0,23,Spanish,4.66,1079.49,2,48,1,1,A class
2683,Ford Fusion,2021,301,54.0,2,no,5.0,1022.48,3,62,0,0,A class
1209,Ford Fusion,2020,745,61.0,21,no,4.77,796.11,1,46,0,0,A class
1033,Chevrolet Malibu,2020,214,37.0,5,Mandarin,4.22,468.09,0,27,3,1,B class
1424,Toyota Camry,2009,460,39.0,5,no,4.49,953.57,2,36,1,0,A class
2194,Nissan Altima,2022,163,34.0,14,no,4.34,835.07,3,14,1,1,B class
340,Toyota Camry,2008,584,27.0,7,no,4.88,675.81,1,47,1,0,A class
1303,Kia Optima,2013,896,30.0,10,Russian,4.45,586.92,1,42,1,1,A class
978,Toyota Camry,2013,14,51.0,4,Russian,4.74,1066.69,2,24,1,0,A class
2392,Honda Accord,2009,638,33.0,11,no,4.87,1273.41,0,60,1,0,A class
2259,Chevrolet Malibu,2016,660,58.0,19,no,4.24,574.62,5,24,1,0,B class
1939,Chevrolet Malibu,2019,621,43.0,18,Spanish,4.81,1103.4,2,38,0,1,A class
663,Ford Fusion,2005,891,44.0,15,Spanish,4.41,922.51,3,28,1,2,A class
1674,Nissan Altima,2012,800,37.0,17,no,3.8,162.1,0,23,3,0,B class
1085,Honda Accord,2012,15,32.0,12,French,4.28,689.8,4,25,4,0,B class
2297,Honda Accord,2016,223,40.0,0,no,4.14,562.56,4,15,0,0,B class
2932,Hyundai Sonata,2009,495,45.0,21,Spanish,5.0,805.47,2,33,2,1,A class
2843,Ford Fusion,2018,198,56.0,11,no,4.35,699.54,4,23,3,0,B class
2490,Toyota Camry,2019,148,53.0,20,Portuguese,3.63,461.23,4,10,3,0,B class
2428,Toyota Camry,2021,460,66.0,19,Mandarin,4.31,775.74,7,48,0,0,A class
2807,Nissan Altima,2020,295,48.0,22,no,4.94,1160.63,1,40,1,0,A class
1883,Chevrolet Malibu,2008,359,28.0,8,Mandarin,4.51,675.24,3,30,2,0,A class
355,Ford Fusion,2017,379,38.0,12,no,3.72,132.53,3,19,3,2,B class
2825,Toyota Camry,2006,110,60.0,20,Spanish,5.0,1183.85,2,52,0,0,A class
848,Kia Optima,2005,751,36.0,6,no,4.27,297.45,3,15,1,2,B class
695,Nissan Altima,2005,417,33.0,13,no,4.57,799.39,2,33,2,0,A class
2897,Toyota Camry,2005,836,29.0,9,no,4.0,550.59,3,37,3,1,B class
714,Toyota Camry,2011,609,30.0,0,Arabic,4.05,236.78,10,11,2,3,B class
2124,Ford Fusion,2018,120,46.0,11,no,3.96,279.88,3,11,2,0,B class
2245,Ford Fusion,2005,356,53.0,14,French,5.0,1293.3,0,57,1,0,A class
59,Ford Fusion,2022,268,22.0,2,Spanish,5.0,814.61,1,21,0,0,A class
2001,Nissan Altima,2011,839,53.0,3,French,4.02,524.1,10,19,2,2,B class
2048,Toyota Camry,2014,623,,6,Russian,3.7,189.28,4,17,2,1,B class
1891,Kia Optima,2005,255,44.0,0,no,4.16,565.62,0,21,0,0,B class
1030,Nissan Altima,2021,469,53.0,2,Spanish,4.63,963.77,5,49,0,0,A class
215,Toyota Camry,2006,4,24.0,2,Portuguese,4.63,601.78,2,34,1,1,A class
737,Kia Optima,2020,497,67.0,14,no,4.6,796.63,2,34,0,0,A class
2228,Toyota Camry,2016,854,38.0,16,Portuguese,4.24,467.04,3,44,3,1,B class
2583,Toyota Camry,2011,587,59.0,18,no,4.27,623.05,4,21,7,0,B class
2942,Ford Fusion,2007,733,66.0,20,no,3.98,427.38,1,6,0,1,B class
1600,Hyundai Sonata,2009,228,34.0,14,Arabic,4.82,714.93,2,49,0,0,A class
1510,Chevrolet Malibu,2008,92,64.0,23,Spanish,3.92,513.11,1,24,4,0,B class
761,Chevrolet Malibu,2009,781,,6,no,4.36,789.46,4,31,1,2,A class
454,Honda Accord,2012,801,49.0,12,no,4.68,746.65,0,34,1,0,A class
2663,Chevrolet Malibu,2021,780,45.0,20,no,4.92,871.56,4,30,1,1,A class
2288,Kia Optima,2015,493,58.0,1,Portuguese,4.51,625.44,3,33,1,0,A class
691,Nissan Altima,2013,424,59.0,14,French,3.85,287.21,2,16,2,0,B class
214,Kia Optima,2015,695,36.0,16,Mandarin,4.09,417.14,2,31,3,0,B class
2407,Kia Optima,2022,735,33.0,6,no,3.88,398.25,8,21,3,1,B class
1597,Chevrolet Malibu,2013,100,28.0,8,Spanish,5.0,963.81,3,24,0,0,A class
2793,Honda Accord,2013,832,53.0,5,Spanish,5.0,1108.75,1,47,2,0,A class
342,Nissan Altima,2021,656,36.0,16,Portuguese,5.0,1425.8,0,65,1,0,A class
148,Chevrolet Malibu,2014,734,40.0,18,Mandarin,4.66,908.71,3,34,2,0,A class
2889,Hyundai Sonata,2017,377,,11,no,4.32,700.06,1,31,1,1,B class
2435,Kia Optima,2022,752,58.0,10,no,4.1,449.66,5,14,1,1,B class
1040,Chevrolet Malibu,2012,152,49.0,11,Russian,4.5,753.17,2,50,4,0,A class
671,Nissan Altima,2012,758,45.0,11,Spanish,4.4,547.96,2,22,0,0,B class
218,Honda Accord,2008,78,48.0,0,Mandarin,4.01,475.38,0,17,1,0,B class
1298,Nissan Altima,2012,791,51.0,14,no,3.75,237.67,4,9,2,1,B class
453,Toyota Camry,2016,386,32.0,3,Spanish,4.22,752.57,4,21,0,2,A class
834,Honda Accord,2018,639,33.0,1,Spanish,3.87,220.58,1,14,2,1,B class
2467,Hyundai Sonata,2011,730,59.0,15,Arabic,4.51,781.12,3,18,1,0,A class
1203,Chevrolet Malibu,2018,819,37.0,5,French,4.82,730.34,4,29,1,0,A class
1988,Ford Fusion,2007,852,,19,no,4.48,573.11,5,24,0,2,B class
1023,Chevrolet Malibu,2022,15,49.0,5,Spanish,4.39,577.79,5,29,0,1,A class
1316,Ford Fusion,2006,272,62.0,3,French,3.96,122.83,4,13,1,0,B class
745,Ford Fusion,2015,857,62.0,21,Spanish,4.86,1097.57,2,35,1,0,A class
2291,Honda Accord,2018,531,28.0,1,no,4.54,588.97,3,36,0,1,A class
825,Toyota Camry,2015,792,34.0,14,French,4.38,593.92,3,32,1,1,B class
2077,Hyundai Sonata,2005,36,47.0,0,no,4.89,1096.57,3,74,2,0,A class
2110,Kia Optima,2011,371,41.0,21,Spanish,3.94,673.1,2,19,2,1,B class
2802,Kia Optima,2022,547,59.0,21,no,4.65,589.01,1,33,1,0,A class
1125,Kia Optima,2006,513,21.0,1,Portuguese,5.0,930.78,0,36,0,0,A class
2403,Ford Fusion,2010,37,58.0,21,no,4.47,845.21,2,44,2,2,A class
906,Ford Fusion,2010,671,31.0,9,no,5.0,1303.51,1,52,0,0,A class
1887,Honda Accord,2009,683,65.0,9,Russian,4.54,804.83,3,30,1,2,A class
2322,Nissan Altima,2022,270,34.0,14,no,4.09,537.3,5,24,0,0,B class
2115,Toyota Camry,2021,546,48.0,14,no,4.41,750.43,3,23,1,0,B class
1472,Hyundai Sonata,2013,161,25.0,5,Arabic,4.84,1086.38,1,38,0,0,A class
2036,Chevrolet Malibu,2012,593,46.0,11,no,4.65,861.03,3,50,2,0,A class
151,Nissan Altima,2011,544,66.0,12,no,4.18,576.47,1,43,1,0,B class
2353,Honda Accord,2006,449,61.0,3,no,3.93,549.39,2,22,0,2,B class
2818,Chevrolet Malibu,2007,191,67.0,15,no,4.11,528.81,2,20,1,0,B class
2126,Chevrolet Malibu,2009,170,51.0,9,Russian,5.0,904.58,1,45,1,0,A class
2347,Ford Fusion,2010,268,55.0,14,Spanish,4.17,521.15,3,28,4,1,B class
485,Honda Accord,2019,13,45.0,14,no,4.19,725.5,1,28,1,1,A class
1755,Nissan Altima,2016,443,26.0,6,French,4.4,693.33,2,24,3,0,B class
1903,Nissan Altima,2010,277,53.0,2,no,3.81,238.56,8,18,3,2,B class
752,Ford Fusion,2005,101,29.0,7,no,3.71,425.12,5,16,1,0,B class
2491,Hyundai Sonata,2018,195,58.0,6,no,4.72,1002.95,2,21,1,0,A class
1313,Kia Optima,2014,845,44.0,9,Mandarin,4.64,607.7,6,43,1,0,A class
2705,Ford Fusion,2014,195,23.0,3,Mandarin,4.61,526.57,3,27,1,1,A class
1083,Toyota Camry,2012,611,55.0,21,no,4.39,401.92,3,27,3,2,B class
2767,Kia Optima,2006,458,,8,French,4.06,125.98,2,10,0,0,B class
1257,Hyundai Sonata,2008,854,54.0,0,Portuguese,4.45,754.55,5,35,2,3,B class
1823,Honda Accord,2022,781,52.0,20,no,4.51,575.88,3,44,2,1,A class
518,Nissan Altima,2014,237,49.0,10,no,4.65,853.2,5,47,2,0,A class
2018,Nissan Altima,2015,480,31.0,6,no,4.44,874.91,1,40,0,1,A class
1660,Nissan Altima,2012,731,54.0,24,Mandarin,4.73,843.9,1,26,0,0,A class
2268,Nissan Altima,2020,309,66.0,19,no,4.55,501.36,1,24,4,0,B class
