,driver_id,car_model,car_manufacture_year,days_since_inspection,age,experience,second_language,rating,net_worth_of_tips,number_of_rejected_rides,number_of_upvotes,number_of_complaints,number_of_incidents,driver_class
319,1062,2.0,2010,646,24.0,0,6.0,4.02,-0.46664,5,39,0,0,1
320,2900,3.0,2007,311,33.0,13,5.0,4.52,-0.38825,6,22,1,0,1
321,1917,3.0,2013,23,49.0,1,6.0,3.93,-2.03957,5,18,2,1,1
322,2171,4.0,2005,425,41.0,6,6.0,4.82,0.88489,4,46,2,0,0
323,1749,0.0,2006,517,33.0,10,1.0,4.54,-0.57932,1,41,1,0,1
324,717,5.0,2017,322,42.0,22,6.0,4.88,0.42966,1,39,2,0,0
325,1658,2.0,2010,142,53.0,7,6.0,4.01,-0.39953,5,18,0,1,1
326,770,6.0,2020,891,54.0,19,6.0,4.61,-0.08365,5,26,2,0,0
327,749,0.0,2008,279,35.0,15,6.0,4.29,0.45237,4,30,4,0,1
328,2024,3.0,2022,337,35.0,14,6.0,4.11,-0.34537,2,20,0,0,1
329,1651,3.0,2021,94,27.0,7,6.0,4.41,0.70728,4,31,2,1,0
330,1773,2.0,2018,828,27.0,1,6.0,4.28,-0.91922,3,29,2,0,1
331,2366,4.0,2022,806,29.0,9,6.0,4.9,1.18937,3,35,0,0,0
332,1590,5.0,2019,531,63.0,15,6.0,5.0,2.48445,0,63,1,0,0
333,88,2.0,2010,862,44.0,23,2.0,5.0,1.31943,3,50,0,0,0
334,2911,1.0,2019,282,28.0,8,2.0,4.42,0.51859,1,34,1,0,0
335,1319,4.0,2014,208,37.0,8,4.0,5.0,1.50490,2,38,2,0,0
336,528,5.0,2010,755,44.0,2,6.0,3.79,-0.91922,6,9,2,1,1
337,1456,0.0,2015,502,25.0,5,6.0,3.73,-1.16717,2,10,1,0,1
338,633,4.0,2022,429,25.0,5,6.0,4.87,0.37118,0,28,2,0,0
339,2385,4.0,2021,801,23.0,0,5.0,4.12,-0.82882,2,24,2,4,1
340,2861,0.0,2020,510,55.0,3,2.0,4.74,-0.12106,2,24,0,0,0
341,946,1.0,2014,475,65.0,12,6.0,4.42,-0.89002,2,9,1,0,1
342,2219,0.0,2017,586,61.0,5,6.0,3.79,-1.12514,6,21,2,1,1
343,604,3.0,2021,171,49.0,23,6.0,4.42,-0.91934,3,48,2,0,0
344,2440,1.0,2007,103,65.0,17,4.0,5.0,1.87906,0,51,0,0,0
345,1960,1.0,2015,873,27.0,7,5.0,3.91,-0.72143,6,32,1,2,1
346,665,2.0,2018,566,45.0,5,1.0,4.43,-0.07743,4,24,1,0,0
347,2644,0.0,2020,23,46.0,14,6.0,4.91,0.99636,0,35,1,1,0
348,2408,6.0,2013,835,54.0,5,6.0,4.76,0.43724,4,31,1,0,0
349,524,2.0,2009,183,55.0,10,6.0,4.47,-0.83287,1,26,3,1,1
350,842,0.0,2010,123,23.0,3,4.0,4.63,-0.91036,1,30,0,1,0
351,1950,5.0,2011,82,46.0,10,6.0,4.26,-1.39720,8,25,1,1,1
352,1391,0.0,2005,34,46.0,3,6.0,4.08,-1.07561,2,19,1,0,1
353,1135,0.0,2017,745,34.0,14,6.0,4.22,-0.36551,5,25,2,0,1
354,401,4.0,2008,210,55.0,8,1.0,4.71,0.21227,2,35,1,0,0
355,227,2.0,2012,332,26.0,6,5.0,3.94,-0.08408,3,15,2,0,1
356,1117,4.0,2012,701,52.0,18,6.0,4.2,-0.15539,7,14,2,1,1
357,799,3.0,2013,295,65.0,13,5.0,4.23,0.42173,2,45,2,0,0
358,1353,5.0,2020,53,54.0,19,6.0,4.82,1.24719,0,41,0,0,0
359,758,0.0,2008,453,23.0,3,4.0,4.26,-1.63255,9,32,1,0,1
360,2200,0.0,2016,797,38.0,12,6.0,4.47,0.51306,2,39,1,1,0
361,2497,4.0,2011,770,58.0,16,1.0,4.77,0.18494,2,28,1,0,0
362,1287,6.0,2008,488,27.0,7,0.0,4.76,0.76657,2,36,2,1,0
363,2635,4.0,2019,756,65.0,14,0.0,4.51,0.20205,1,35,1,0,0
364,2722,0.0,2011,689,30.0,6,6.0,4.82,0.15314,2,26,1,2,0
365,2419,5.0,2017,584,63.0,4,5.0,4.95,0.85946,3,31,1,0,0
366,768,5.0,2016,743,41.0,17,1.0,4.45,1.13354,3,33,0,1,0
367,428,4.0,2010,549,49.0,24,6.0,4.84,1.93346,1,41,0,0,0
368,2916,0.0,2018,868,34.0,14,2.0,4.98,1.30979,4,40,1,0,0
369,1333,5.0,2008,892,50.0,4,6.0,4.26,0.29995,4,43,2,2,1
370,1627,2.0,2019,131,46.0,2,5.0,4.83,0.31753,1,24,0,1,0
371,27,6.0,2013,676,44.0,11,6.0,4.42,0.03077,1,25,0,0,0
372,718,6.0,2020,713,31.0,11,6.0,5.0,0.93571,5,44,1,0,0
373,25,5.0,2022,217,43.0,19,5.0,4.79,0.77859,1,48,3,0,0
374,2277,0.0,2011,309,41.0,8,6.0,4.31,-0.60226,5,20,0,0,1
375,2133,5.0,2006,450,58.0,0,6.0,4.32,-0.16472,3,28,1,0,0
376,1553,6.0,2009,891,29.0,9,2.0,4.01,-1.08875,4,20,3,0,1
377,1,5.0,2022,351,35.0,2,6.0,3.93,-1.18210,4,19,3,2,1
378,1793,3.0,2010,4,53.0,14,0.0,4.34,-0.96561,4,25,2,2,1
379,864,6.0,2015,15,38.0,14,5.0,5.0,1.42294,2,40,3,0,0
380,61,0.0,2020,312,39.0,1,1.0,4.15,-0.91145,4,17,1,2,1
381,1545,5.0,2015,590,50.0,19,2.0,4.9,1.24295,3,22,2,0,0
382,2714,5.0,2013,96,40.0,20,6.0,4.74,0.02867,4,35,2,0,0
383,1683,3.0,2006,478,47.0,5,1.0,4.08,-1.52481,2,9,1,1,1
384,1338,1.0,2020,700,44.0,14,4.0,3.28,-1.36236,3,17,3,0,1
385,1962,0.0,2012,739,42.0,9,5.0,4.56,0.06487,0,54,2,1,0
386,1454,5.0,2008,84,55.0,12,6.0,3.99,-0.50821,0,27,2,1,1
387,2841,1.0,2009,113,44.0,14,6.0,4.48,0.25543,1,42,3,1,0
388,2998,6.0,2010,793,22.0,2,6.0,4.9,0.58640,1,35,1,0,0
389,1372,2.0,2006,483,35.0,13,6.0,4.47,0.08521,2,46,3,0,0
390,1560,1.0,2014,611,65.0,9,1.0,4.84,1.22118,2,45,1,0,0
391,667,3.0,2009,520,45.0,24,6.0,4.92,-0.08579,4,37,0,0,0
392,705,5.0,2019,25,58.0,6,6.0,4.46,-0.56843,4,22,3,1,1
393,1172,0.0,2009,17,61.0,2,5.0,4.49,0.89298,1,37,1,1,0
394,242,1.0,2022,828,57.0,2,5.0,3.85,-0.66268,5,27,1,0,1
395,2160,6.0,2017,789,50.0,3,6.0,5.0,1.23428,1,36,0,0,0
396,1786,6.0,2015,149,22.0,2,6.0,3.79,-1.28522,2,10,1,2,1
397,132,1.0,2015,867,21.0,1,6.0,4.45,-0.19536,3,19,0,0,1
398,1620,5.0,2020,284,63.0,10,1.0,4.65,0.45941,1,43,2,2,0
399,841,6.0,2019,115,37.0,16,6.0,4.2,-0.87537,2,21,1,0,1
400,2507,3.0,2021,456,23.0,3,6.0,4.03,-1.45148,4,8,0,0,1
401,195,2.0,2016,441,48.0,10,6.0,4.87,0.98299,2,45,1,1,0
402,2064,6.0,2009,767,46.0,24,6.0,4.02,-0.92790,4,26,1,1,1
403,1752,2.0,2015,465,63.0,21,6.0,4.55,0.10434,2,31,0,0,0
404,1488,5.0,2017,576,49.0,9,1.0,4.27,-0.44308,2,29,1,0,1
405,1762,5.0,2009,481,62.0,15,1.0,4.05,-0.21826,3,22,2,0,0
406,451,4.0,2009,297,41.0,21,6.0,4.27,0.77832,2,17,0,1,0
407,171,6.0,2012,266,22.0,2,6.0,4.23,-0.58927,4,20,1,1,1
408,1966,6.0,2016,863,38.0,3,6.0,4.52,0.83594,1,38,0,1,0
409,1771,1.0,2019,478,26.0,6,6.0,4.19,0.36053,1,18,1,0,1
410,2028,2.0,2013,163,26.0,6,6.0,4.46,-0.01456,3,36,2,1,0
411,1685,1.0,2007,210,53.0,0,1.0,3.68,-2.20057,2,14,1,1,1
412,1337,0.0,2017,4,53.0,18,3.0,3.88,-1.05586,5,24,5,0,1
413,514,2.0,2006,206,44.0,7,5.0,4.34,-0.97444,7,20,0,0,1
414,220,5.0,2009,475,50.0,17,5.0,4.74,1.33541,3,42,1,0,0
415,2918,6.0,2008,533,36.0,2,3.0,4.43,-0.43153,5,16,0,0,1
416,1229,5.0,2016,681,39.0,7,5.0,4.82,1.12957,3,30,1,0,0
417,2576,6.0,2007,884,45.0,0,6.0,4.39,-0.51824,2,18,1,0,1
418,1754,5.0,2006,578,34.0,14,2.0,3.48,-2.67559,2,13,1,1,1
419,597,0.0,2008,626,39.0,19,1.0,5.0,1.08906,2,50,0,0,0
420,1237,4.0,2018,466,64.0,24,5.0,4.71,0.64662,0,43,1,0,0
421,1068,4.0,2007,641,44.0,13,5.0,5.0,1.01277,2,49,1,0,0
422,503,6.0,2008,586,21.0,1,6.0,4.05,0.09178,3,28,0,1,1
423,1675,5.0,2015,38,22.0,2,6.0,3.67,-2.67559,3,9,2,1,1
424,865,4.0,2008,807,41.0,9,6.0,4.67,0.54790,2,24,1,1,0
425,1996,5.0,2015,181,44.0,10,6.0,4.23,0.53760,3,18,2,1,1
426,2676,5.0,2016,580,65.0,0,6.0,4.21,0.21099,3,30,1,1,1
427,2865,0.0,2011,452,58.0,17,6.0,4.62,-0.05722,3,10,3,1,1
428,652,2.0,2016,720,24.0,4,5.0,4.86,0.52943,1,41,0,0,0
429,548,2.0,2010,745,38.0,16,6.0,4.62,0.37437,2,25,3,0,0
430,1941,6.0,2018,438,30.0,1,6.0,4.04,-0.21235,5,17,2,0,1
431,2101,5.0,2014,785,44.0,6,6.0,4.68,0.97906,3,31,0,0,0
432,1922,5.0,2018,257,44.0,12,5.0,4.44,-0.24805,2,24,1,0,0
433,1224,0.0,2009,550,44.0,11,1.0,4.54,-1.19501,4,32,1,1,1
434,2764,6.0,2006,782,26.0,6,1.0,4.46,0.55560,3,27,1,1,0
435,486,2.0,2014,865,63.0,5,6.0,4.67,-0.62442,5,26,1,0,1
436,2856,5.0,2012,741,65.0,15,6.0,4.45,-0.00278,6,20,1,0,0
437,2623,3.0,2019,364,37.0,17,1.0,4.87,1.55793,1,41,2,0,0
438,254,6.0,2006,471,44.0,7,2.0,4.14,-1.67843,5,32,2,2,1
439,2511,0.0,2016,469,66.0,4,6.0,4.24,-0.84585,4,39,0,1,1
440,296,6.0,2016,199,33.0,2,6.0,4.19,-0.31014,2,36,1,1,1
441,2218,0.0,2008,257,40.0,2,6.0,4.08,-1.29358,5,6,2,0,1
442,1975,1.0,2016,542,58.0,10,4.0,3.88,-1.07390,3,26,0,0,1
443,1402,3.0,2015,147,58.0,3,2.0,4.83,0.38083,1,21,0,1,0
444,2513,4.0,2014,486,44.0,4,6.0,3.52,-1.75654,4,27,2,1,1
445,1525,5.0,2018,82,38.0,18,6.0,4.42,0.32336,2,52,0,2,1
446,2394,1.0,2008,484,22.0,2,6.0,4.85,0.86078,4,41,1,0,0
447,2925,0.0,2009,699,67.0,0,1.0,3.58,-1.46765,9,10,1,2,1
448,641,5.0,2014,299,56.0,8,6.0,5.0,2.29113,0,53,0,0,0
449,329,4.0,2011,36,39.0,0,6.0,4.49,0.03606,3,27,1,1,0
450,271,3.0,2011,319,38.0,18,6.0,5.0,2.13813,3,43,0,0,0
451,302,6.0,2011,758,28.0,8,1.0,4.13,-1.52528,4,13,0,0,1
452,366,2.0,2012,838,23.0,3,6.0,4.6,0.37799,3,39,2,1,1
453,741,1.0,2016,729,44.0,4,6.0,4.11,-0.37970,4,31,0,1,1
454,2853,2.0,2007,845,51.0,5,6.0,4.76,0.81273,2,40,0,0,0
455,1422,0.0,2020,471,44.0,2,1.0,3.94,-0.55342,2,20,2,0,1
456,2579,5.0,2011,233,32.0,12,6.0,4.63,0.73749,1,52,5,0,0
457,2072,1.0,2005,144,30.0,10,3.0,4.46,-0.61529,3,23,2,1,1
458,670,1.0,2008,891,47.0,2,6.0,3.94,-1.47796,1,17,0,0,1
459,2095,5.0,2018,714,28.0,8,3.0,5.0,2.03906,3,46,1,1,0
460,111,6.0,2021,721,34.0,14,5.0,4.68,-1.14077,3,20,0,1,1
461,2689,5.0,2005,463,61.0,2,6.0,4.22,-0.43631,4,33,3,2,1
462,2990,0.0,2006,578,39.0,10,6.0,4.91,0.94862,4,36,1,1,0
463,743,6.0,2009,423,35.0,8,1.0,4.76,1.09621,1,38,4,0,0
464,650,6.0,2013,788,45.0,21,6.0,4.23,-0.97261,3,11,1,0,1
465,2553,5.0,2016,208,34.0,8,6.0,3.87,-0.79737,3,15,2,1,1
466,192,3.0,2010,271,38.0,11,1.0,4.11,-0.97304,2,35,1,2,1
467,639,0.0,2007,167,21.0,1,5.0,4.99,0.80215,3,17,0,1,0
468,80,5.0,2018,382,40.0,6,6.0,4.22,0.04322,4,27,0,0,0
469,898,0.0,2010,246,40.0,15,6.0,4.41,-1.34887,3,26,2,1,1
470,2177,1.0,2017,435,52.0,2,4.0,4.39,0.30007,3,32,1,0,0
471,2157,4.0,2014,487,52.0,5,0.0,4.49,-0.57652,1,24,0,0,0
472,1471,5.0,2009,126,28.0,8,6.0,3.86,-0.18440,2,22,2,2,1
473,2608,0.0,2018,446,52.0,23,6.0,4.7,1.11274,1,25,2,0,0
474,1797,5.0,2006,886,63.0,22,5.0,4.71,1.90219,2,61,1,0,0
475,292,6.0,2005,306,44.0,4,2.0,4.62,0.98416,4,44,0,0,0
476,1730,6.0,2021,424,21.0,1,3.0,4.53,1.09660,4,22,0,1,0
477,2701,3.0,2008,716,54.0,20,6.0,4.41,0.03042,4,25,0,0,1
478,1981,1.0,2015,459,23.0,3,5.0,4.87,1.03439,2,80,0,0,0
479,1503,1.0,2013,125,67.0,23,6.0,4.47,0.18677,1,46,4,1,0
480,339,2.0,2016,492,36.0,13,4.0,3.75,-0.65677,6,15,4,1,1
481,1252,2.0,2009,703,39.0,19,1.0,4.25,-0.27826,4,29,3,1,0
482,1314,5.0,2009,272,34.0,3,6.0,4.76,0.79239,0,40,1,0,0
483,2907,6.0,2017,424,41.0,15,0.0,4.73,0.31306,3,19,0,1,0
484,2927,1.0,2019,438,27.0,5,6.0,4.52,0.98489,4,25,1,0,0
485,2270,5.0,2006,415,44.0,2,1.0,4.88,1.65669,2,42,0,1,0
486,930,0.0,2021,402,49.0,16,5.0,4.55,-0.40260,8,18,2,0,0
487,1465,3.0,2011,631,26.0,6,2.0,4.8,1.30423,1,26,0,0,0
488,2032,6.0,2009,63,28.0,4,6.0,4.03,-1.87926,1,8,2,0,1
489,2203,3.0,2017,104,42.0,15,6.0,4.03,-0.68127,1,11,3,0,1
490,2287,0.0,2005,73,39.0,12,6.0,4.86,0.85184,5,22,0,1,0
491,375,2.0,2022,255,36.0,6,4.0,3.8,-2.30054,6,10,2,0,1
492,1442,4.0,2015,540,21.0,1,6.0,5.0,0.20166,3,28,1,1,0
493,994,1.0,2006,835,41.0,15,6.0,4.43,1.12265,3,45,0,0,0
494,2054,4.0,2019,176,57.0,9,6.0,4.89,1.58500,1,37,0,0,0
495,359,0.0,2014,227,42.0,9,5.0,4.56,-0.93793,4,30,2,0,1
496,1306,5.0,2015,668,43.0,18,5.0,3.98,-1.06600,2,22,2,0,1
497,2498,0.0,2022,461,29.0,9,3.0,4.11,-0.31450,5,29,1,0,1
498,445,6.0,2011,388,60.0,7,6.0,4.26,0.51726,4,24,1,4,1
499,363,3.0,2009,600,34.0,14,6.0,4.22,-0.40626,3,14,0,0,1
500,1948,5.0,2015,72,27.0,5,6.0,4.21,-0.18047,2,24,0,1,1
501,180,6.0,2020,395,45.0,6,6.0,4.21,-0.95449,4,29,0,1,1
502,268,3.0,2008,499,44.0,6,1.0,4.41,-0.30419,4,17,4,0,1
503,179,5.0,2018,623,23.0,3,3.0,3.9,-0.77754,3,16,1,1,1
504,692,4.0,2020,428,21.0,1,5.0,4.19,-0.37713,3,17,1,0,1
505,878,2.0,2014,486,61.0,16,1.0,4.42,0.23319,2,56,0,1,0
506,2062,2.0,2017,518,23.0,3,6.0,4.23,0.17693,3,24,3,0,1
507,1263,1.0,2009,557,60.0,13,1.0,3.78,-0.94586,7,11,0,3,1
508,1826,1.0,2017,840,54.0,9,6.0,3.66,-1.11107,2,12,2,0,1
509,2890,1.0,2006,254,41.0,16,5.0,4.37,0.26601,2,18,1,1,1
510,1426,1.0,2020,297,36.0,7,6.0,5.0,1.21725,2,37,1,0,0
511,489,3.0,2016,651,23.0,3,6.0,4.28,0.13556,3,36,0,0,1
512,2398,0.0,2021,671,54.0,23,6.0,4.88,1.43744,0,43,0,0,0
513,2682,0.0,2021,767,43.0,14,3.0,4.6,-0.01931,5,25,1,1,0
514,52,1.0,2005,762,28.0,8,6.0,3.95,-1.35182,2,33,3,0,1
515,2176,6.0,2005,295,25.0,5,3.0,5.0,0.59806,2,46,0,1,0
516,1063,5.0,2012,512,63.0,9,1.0,4.67,0.48110,0,42,1,1,0
517,2272,5.0,2016,218,51.0,18,2.0,4.12,-1.43281,5,16,2,1,1
518,1594,4.0,2014,843,44.0,14,6.0,3.84,-0.49013,1,22,2,0,1
519,64,3.0,2022,124,55.0,21,1.0,4.63,0.76323,4,41,1,0,0
520,846,2.0,2006,679,47.0,18,2.0,4.45,0.67664,2,27,1,0,1
521,839,0.0,2012,572,58.0,11,6.0,4.57,0.75386,0,33,0,0,0
522,211,0.0,2012,741,37.0,17,1.0,4.49,0.44389,2,49,1,0,0
523,1507,4.0,2013,761,25.0,5,6.0,4.78,1.26411,0,42,3,0,0
524,2819,0.0,2005,591,41.0,21,0.0,4.71,-0.04536,2,16,0,1,0
525,706,0.0,2015,848,55.0,23,5.0,4.66,1.52166,2,48,1,1,0
526,2683,1.0,2021,301,54.0,2,6.0,5.0,1.29999,3,62,0,0,0
527,1209,1.0,2020,745,61.0,21,6.0,4.77,0.41983,1,46,0,0,0
528,1033,0.0,2020,214,37.0,5,2.0,4.22,-0.85558,0,27,3,1,1
529,1424,6.0,2009,460,39.0,5,6.0,4.49,1.03206,2,36,1,0,0
530,2194,5.0,2022,163,34.0,14,6.0,4.34,0.57131,3,14,1,1,1
531,340,6.0,2008,584,27.0,7,6.0,4.88,-0.04792,1,47,1,0,0
532,1303,4.0,2013,896,30.0,10,4.0,4.45,-0.39354,1,42,1,1,0
533,978,6.0,2013,14,51.0,4,4.0,4.74,1.47189,2,24,1,0,0
534,2392,2.0,2009,638,33.0,11,6.0,4.87,2.27565,0,60,1,0,0
535,2259,0.0,2016,660,58.0,19,6.0,4.24,-0.44137,5,24,1,0,1
536,1939,0.0,2019,621,43.0,18,5.0,4.81,1.61462,2,38,0,1,0
537,663,1.0,2005,891,44.0,15,5.0,4.41,0.91129,3,28,1,2,0
538,1674,5.0,2012,800,37.0,17,6.0,3.8,-2.04532,0,23,3,0,1
539,1085,2.0,2012,15,32.0,12,1.0,4.28,0.00647,4,25,4,0,1
540,2297,2.0,2016,223,40.0,0,6.0,4.14,-0.48826,4,15,0,0,1
541,2932,3.0,2009,495,45.0,21,5.0,5.0,0.45622,2,33,2,1,0
542,2843,1.0,2018,198,56.0,11,6.0,4.35,0.04434,4,23,3,0,1
543,2490,6.0,2019,148,53.0,20,3.0,3.63,-0.88225,4,10,3,0,1
544,2428,6.0,2021,460,66.0,19,2.0,4.31,0.34062,7,48,0,0,0
545,2807,5.0,2020,295,48.0,22,6.0,4.94,1.83715,1,40,1,0,0
546,1883,0.0,2008,359,28.0,8,2.0,4.51,-0.05014,3,30,2,0,0
547,355,1.0,2017,379,38.0,12,6.0,3.72,-2.16029,3,19,3,2,1
548,2825,6.0,2006,110,60.0,20,5.0,5.0,1.92743,2,52,0,0,0
549,848,4.0,2005,751,36.0,6,6.0,4.27,-1.51905,3,15,1,2,1
550,695,5.0,2005,417,33.0,13,6.0,4.57,0.43258,2,33,2,0,0
551,2897,6.0,2005,836,29.0,9,6.0,4.0,-0.53480,3,37,3,1,1
552,714,6.0,2011,609,30.0,0,0.0,4.05,-1.75495,10,11,2,3,1
553,2124,1.0,2018,120,46.0,11,6.0,3.96,-1.58737,3,11,2,0,1
554,2245,1.0,2005,356,53.0,14,1.0,5.0,2.35299,0,57,1,0,0
555,59,1.0,2022,268,22.0,2,5.0,5.0,0.49176,1,21,0,0,0
556,2001,5.0,2011,839,53.0,3,1.0,4.02,-0.63780,10,19,2,2,1
557,2048,6.0,2014,623,44.0,6,4.0,3.7,-1.93964,4,17,2,1,1
558,1891,4.0,2005,255,44.0,0,6.0,4.16,-0.47636,0,21,0,0,1
559,1030,5.0,2021,469,53.0,2,5.0,4.63,1.07172,5,49,0,0,0
560,215,6.0,2006,4,24.0,2,3.0,4.63,-0.33576,2,34,1,1,0
561,737,4.0,2020,497,67.0,14,6.0,4.6,0.42185,2,34,0,0,0
562,2228,6.0,2016,854,38.0,16,3.0,4.24,-0.85966,3,44,3,1,1
563,2583,6.0,2011,587,59.0,18,6.0,4.27,-0.25306,4,21,7,0,1
564,2942,1.0,2007,733,66.0,20,6.0,3.98,-1.01386,1,6,0,1,1
565,1600,3.0,2009,228,34.0,14,0.0,4.82,0.10418,2,49,0,0,0
566,1510,0.0,2008,92,64.0,23,5.0,3.92,-0.68053,1,24,4,0,1
567,761,0.0,2009,781,44.0,6,6.0,4.36,0.39397,4,31,1,2,0
568,454,2.0,2012,801,49.0,12,6.0,4.68,0.22752,0,34,1,0,0
569,2663,0.0,2021,780,45.0,20,6.0,4.92,0.71319,4,30,1,1,0
570,2288,4.0,2015,493,58.0,1,3.0,4.51,-0.24377,3,33,1,0,0
571,691,5.0,2013,424,59.0,14,1.0,3.85,-1.55887,2,16,2,0,1
572,214,4.0,2015,695,36.0,16,2.0,4.09,-1.05368,2,31,3,0,1
573,2407,4.0,2022,735,33.0,6,6.0,3.88,-1.12713,8,21,3,1,1
574,1597,0.0,2013,100,28.0,8,5.0,5.0,1.07187,3,24,0,0,0
575,2793,2.0,2013,832,53.0,5,5.0,5.0,1.63543,1,47,2,0,0
576,342,5.0,2021,656,36.0,16,3.0,5.0,2.86817,0,65,1,0,0
577,148,0.0,2014,734,40.0,18,2.0,4.66,0.85763,3,34,2,0,0
578,2889,3.0,2017,377,44.0,11,6.0,4.32,0.04637,1,31,1,1,1
579,2435,4.0,2022,752,58.0,10,6.0,4.1,-0.92723,5,14,1,1,1
580,1040,0.0,2012,152,49.0,11,4.0,4.5,0.25287,2,50,4,0,0
581,671,5.0,2012,758,45.0,11,5.0,4.4,-0.54503,2,22,0,0,1
582,218,2.0,2008,78,48.0,0,2.0,4.01,-0.82723,0,17,1,0,1
583,1298,5.0,2012,791,51.0,14,6.0,3.75,-1.75149,4,9,2,1,1
584,453,6.0,2016,386,32.0,3,5.0,4.22,0.25053,4,21,0,2,0
585,834,2.0,2018,639,33.0,1,5.0,3.87,-1.81794,1,14,2,1,1
586,2467,3.0,2011,730,59.0,15,0.0,4.51,0.36154,3,18,1,0,0
587,1203,0.0,2018,819,37.0,5,1.0,4.82,0.16410,4,29,1,0,0
588,1988,1.0,2007,852,44.0,19,6.0,4.48,-0.44724,5,24,0,2,1
589,1023,0.0,2022,15,49.0,5,5.0,4.39,-0.42904,5,29,0,1,0
590,1316,1.0,2006,272,62.0,3,1.0,3.96,-2.19801,4,13,1,0,1
591,745,1.0,2015,857,62.0,21,5.0,4.86,1.59196,2,35,1,0,0
592,2291,2.0,2018,531,28.0,1,6.0,4.54,-0.38557,3,36,0,1,0
593,825,6.0,2015,792,34.0,14,1.0,4.38,-0.36633,3,32,1,1,1
594,2077,3.0,2005,36,47.0,0,6.0,4.89,1.58807,3,74,2,0,0
595,2110,4.0,2011,371,41.0,21,5.0,3.94,-0.05846,2,19,2,1,1
596,2802,4.0,2022,547,59.0,21,6.0,4.65,-0.38542,1,33,1,0,0
597,1125,4.0,2006,513,21.0,1,3.0,5.0,0.94345,0,36,0,0,0
598,2403,1.0,2010,37,58.0,21,6.0,4.47,0.61074,2,44,2,2,0
599,906,1.0,2010,671,31.0,9,6.0,5.0,2.39269,1,52,0,0,0
600,1887,2.0,2009,683,65.0,9,4.0,4.54,0.45373,3,30,1,2,0
601,2322,5.0,2022,270,34.0,14,6.0,4.09,-0.58647,5,24,0,0,1
602,2115,6.0,2021,546,48.0,14,6.0,4.41,0.24221,3,23,1,0,1
603,1472,3.0,2013,161,25.0,5,0.0,4.84,1.54845,1,38,0,0,0
604,2036,0.0,2012,593,46.0,11,6.0,4.65,0.67225,3,50,2,0,0
605,151,5.0,2011,544,66.0,12,6.0,4.18,-0.43417,1,43,1,0,1
606,2353,2.0,2006,449,61.0,3,6.0,3.93,-0.53947,2,22,0,2,1
607,2818,0.0,2007,191,67.0,15,6.0,4.11,-0.61949,2,20,1,0,1
608,2126,0.0,2009,170,51.0,9,4.0,5.0,0.84158,1,45,1,0,0
609,2347,1.0,2010,268,55.0,14,5.0,4.17,-0.64927,3,28,4,1,1
610,485,2.0,2019,13,45.0,14,6.0,4.19,0.14528,1,28,1,1,0
611,1755,5.0,2016,443,26.0,6,1.0,4.4,0.02020,2,24,3,0,1
612,1903,5.0,2010,277,53.0,2,6.0,3.81,-1.74803,8,18,3,2,1
613,752,1.0,2005,101,29.0,7,6.0,3.71,-1.02265,5,16,1,0,1
614,2491,3.0,2018,195,58.0,6,6.0,4.72,1.22406,2,21,1,0,0
615,1313,4.0,2014,845,44.0,9,2.0,4.64,-0.31275,6,43,1,0,0
616,2705,1.0,2014,195,23.0,3,2.0,4.61,-0.62819,3,27,1,1,0
617,1083,6.0,2012,611,55.0,21,6.0,4.39,-1.11286,3,27,3,2,1
618,2767,4.0,2006,458,44.0,8,1.0,4.06,-2.18576,2,10,0,0,1
619,1257,3.0,2008,854,54.0,0,3.0,4.45,0.25823,5,35,2,3,1
620,1823,2.0,2022,781,52.0,20,6.0,4.51,-0.43647,3,44,2,1,0
621,518,5.0,2014,237,49.0,10,6.0,4.65,0.64180,5,47,2,0,0
622,2018,5.0,2015,480,31.0,6,6.0,4.44,0.72621,1,40,0,1,0
623,1660,5.0,2012,731,54.0,24,2.0,4.73,0.60564,1,26,0,0,0
624,2268,5.0,2020,309,66.0,19,6.0,4.55,-0.72622,1,24,4,0,1
625,940,2.0,2005,320,59.0,8,6.0,5.0,2.47166,1,33,1,0,0
626,1276,0.0,2018,273,39.0,16,6.0,4.78,1.36955,2,43,1,0,0
627,193,5.0,2021,220,24.0,1,0.0,5.0,1.15504,0,44,0,0,0
628,1003,0.0,2007,899,67.0,10,0.0,4.65,-0.31197,4,35,2,1,0
629,2943,6.0,2010,184,32.0,1,6.0,4.2,0.18167,3,33,1,0,1
630,2691,0.0,2009,378,21.0,1,6.0,4.19,0.63698,3,42,2,2,0
631,73,5.0,2008,225,22.0,2,6.0,3.83,-1.20108,4,12,1,1,1
632,2664,3.0,2013,774,56.0,22,3.0,3.97,-0.35248,2,22,3,0,1
633,90,1.0,2008,508,48.0,16,1.0,4.07,-1.12254,4,25,1,1,1
634,922,2.0,2017,701,55.0,9,6.0,4.4,0.12681,2,35,1,1,0
635,18,6.0,2009,489,59.0,23,4.0,4.11,-0.28965,3,26,3,0,1
636,702,3.0,2008,244,50.0,5,5.0,4.19,-1.17437,4,37,0,3,1
637,2444,1.0,2019,431,50.0,12,6.0,3.93,-0.47854,4,12,0,0,1
638,2647,1.0,2016,865,40.0,11,5.0,4.23,-1.35536,1,27,3,1,1
639,116,0.0,2012,232,23.0,3,6.0,4.88,1.62516,2,31,1,0,0
640,2929,0.0,2010,509,63.0,1,2.0,4.51,1.67621,1,43,0,0,0
